tinh,huyen,xa,lhdn,co_khucn,khucn,tthd,nganh_kd,tsld,tsldnu,tn1,ts12,ts22,ts82,ts252,ts262,ts272,kqkd1,kqkd9,kqkd18,nns11,nns12
01,276,09997,11,1.0,1.0,1,26400,530.0,465.0,57569.0,125061.0,41469.0,,8197.0,,110.0,132972.0,2732.0,7725.0,439.0,439.0
01,276,09997,11,1.0,1.0,1,26100,2085.0,1174.0,233334.0,5816758.0,1501824.0,10636.0,318017.0,269.0,19671.0,4379588.0,105456.0,6041.0,13116.0,13116.0
01,250,08989,11,1.0,1.0,1,26100,1039.0,972.0,68038.0,541797.0,377259.0,,36783.0,107.0,109.0,977339.0,3359.0,8291.0,840.0,477.0
01,017,00514,11,1.0,1.0,1,26100,4272.0,3919.0,536533.0,7580928.0,2073487.0,,549624.0,103.0,14903.0,6650985.0,91302.0,16239.0,104496.0,120410.0
01,250,08989,11,1.0,1.0,1,26520,58.0,41.0,7864.0,10320.0,7743.0,,216.0,6.0,,17785.0,2044.0,10.0,1810.5,1243.0
01,276,09997,11,1.0,1.0,1,26400,820.0,564.0,62081.0,318214.0,173202.0,,45632.0,69.0,43.0,307692.0,563.0,1749.0,5.0,5.0
01,017,00493,11,1.0,1.0,1,26200,20391.0,18270.0,1478579.0,12483640.0,9450775.0,316495.0,316126.0,10956.0,129471.0,33058373.0,39532.0,1175.0,76339.0,74069.0
01,250,08989,11,1.0,1.0,1,26100,1201.0,1139.0,93683.0,316110.0,272758.0,,6757.0,166.0,283.0,727412.0,2969.0,29.0,58202.0,58360.0
01,250,08973,11,1.0,1.0,1,26100,39.0,25.0,2214.0,25577.0,15403.0,,1476.0,70.0,22.0,16312.0,21.0,646.0,3.0,3.0
01,017,00514,11,1.0,1.0,1,26300,3082.0,2673.0,330146.0,2267732.0,2154014.0,,77225.0,588.0,3708.0,5412797.0,2063.0,4358.0,37657.0,37737.0
